"ITEM_SEQ","ITEM_NAME","ENTP_SEQ","ENTP_NAME","CHARTN","ITEM_IMAGE","PRINT_FRONT","PRINT_BACK","DRUG_SHAPE","COLOR_CLASS1","COLOR_CLASS2","LINE_FRONT","LINE_BACK","LENG_LONG","LENG_SHORT","THICK","IMG_REGIST_TS","CLASS_NO","ETC_OTC_CODE","ITEM_PERMIT_DATE","SHAPE_CODE","MARK_CODE_FRONT_ANAL","MARK_CODE_BACK_ANAL","MARK_CODE_FRONT_IMG","MARK_CODE_BACK_IMG","ITEM_ENG_NAME","EDI_CODE"
"202501006","클린콜정","19540008","(주)대웅제약","흰색 내지 미백색의 타원형 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PRCAdwdCmj","DW","20 T","타원형","하양","","","","17.3","8.8","6.8","2025-05-12","07210","전문의약품","2025-04-28","010201","","","","","CLEANCOL Tablet",""
"202500565","란소듀오정15/600밀리그램(란소프라졸,침강탄산칼슘)","19640018","구주제약(주)","노란색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PRCAdwdCnx","L15","GJ","타원형","주황","","","","15.0","7.4","4.7","2025-05-12","02320","전문의약품","2025-03-14","010201","","","","","Lasnso Duo Tab. 15/600mg","669806410"
"202500563","란사톤듀오정15/600밀리그램(란소프라졸,침강탄산칼슘)","19580012","하나제약(주)","노란색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PRCAdwdCpY","LZ","15","타원형","주황","","","","15.0","7.5","5.0","2025-05-12","02320","전문의약품","2025-03-14","010201","","","","","Lansatone Duo Tab. 15/600mg","657808380"
"202500566","뉴란소엑스정15/600밀리그램(란소프라졸,침강탄산칼슘)","19560010","한국유니온제약(주)","노란색의 타원형 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PRCAdwdCqn","UN","15","타원형","주황","","","","15.1","7.5","4.7","2025-05-12","02320","전문의약품","2025-03-14","010201","","","","","Newranso-X-tab.","665508770"
"202500577","마이비칼정","19620001","신풍제약(주)","분홍색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PRCAdwdCrZ","마크V","","장방형","분홍","","","","16.2","7.9","5.0","2025-05-12","03190","일반의약품","2025-03-17","010201","SP,5P,dS,d5","","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938640332900160","","Myvical tab.","648508410"
"202500339","바로부틴정200밀리그램(트리메부틴말레산염)","19650002","코오롱제약(주)","연한 노란색의 원형정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PThtYEQ9Jz","BB","분할선","원형","노랑","","","-","8.5","8.5","4.1","2025-06-13","02390","일반의약품","2025-02-14","020103","","","","","Barobutine",""
"202501316","제이클정","19550004","제이더블유중외제약(주)","흰색 내지 미백색의 타원형 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PThtYEQ9Lb","마크","20T","타원형","하양","","","","17.2","8.7","6.8","2025-06-13","07210","전문의약품","2025-05-27","010201","jw","","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938661567700091","","JCLE Tab.",""
"202501329","알레바서방정150밀리그램(레바미피드)","19620007","알리코제약(주)","흰색의 장방형 서방정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PThtYEQ9NM","ΛSR","","장방형","하양","","","","11.4","5.1","3.9","2025-06-13","02320","전문의약품","2025-05-28","010501","","","","","Arleba SR Tablet 150mg","656005790"
"202500995","칼디본정","20060383","(주)옵투스제약","황갈색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PU0HchphXJ","SCD","100","타원형","분홍","","","","15.1","7.3","5.4","2025-06-13","03110","일반의약품","2025-04-25","010201","","","","","CalDbon Tab.","674102230"
"202500951","엘라토닌서방정2밀리그램(멜라토닌)","19720011","에이치엘비제약(주)","흰색 내지 회백색의 양면이 볼록한 원형의 서방 정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PWvmOITHs-","EL2","","원형","하양","","","","8.0","8.0","3.2","2025-07-24","01120","전문의약품","2025-04-22","010501","","","","","Elatonin PR Tab. 2mg(Melatonin)",""
