ITEM_SEQ,ITEM_NAME,ENTP_NAME,CHARTN,DRUG_SHAPE,COLOR_CLASS1,COLOR_CLASS2,PRINT_FRONT,PRINT_BACK,ETC_OTC_CODE,ITEM_ENG_NAME,CLASS_NO,LENG_LONG,LENG_SHORT,THICK,SOURCE_YEAR,RAG_TEXT
202105952,브이디썬정,신일제약(주),흰색의 원형 정제,원형,하양,,S분할선I,VD,일반의약품,VD Sun Tab.,3190.0,7.1,7.1,3.0,2021,브이디썬정 | 제조사: 신일제약(주) | 모양: 원형 | 색상: 하양 | 각인: S분할선I VD | 일반의약품 | 흰색의 원형 정제
202300796,브이코에이치캡슐,메딕스제약(주),"미황색 내지 백색의 가루가 든 상부 적색 불투명, 하부 미황색 불투명 캡슐",장방형,빨강,노랑,MDS VH,,일반의약품,V Nose H Cap.,1140.0,19.1,6.4,6.6,2023,"브이코에이치캡슐 | 제조사: 메딕스제약(주) | 모양: 장방형 | 색상: 빨강 노랑 | 각인: MDS VH | 일반의약품 | 미황색 내지 백색의 가루가 든 상부 적색 불투명, 하부 미황색 불투명 캡슐"
202300977,브이코프에이치캡슐,메딕스제약(주),"미황색 내지 백색의 가루가 든 상부 청색 불투명, 하부 미황색 불투명 캡슐",장방형,파랑,노랑,MDS VGH,,일반의약품,V Cough H Cap.,2220.0,19.1,6.4,6.6,2023,"브이코프에이치캡슐 | 제조사: 메딕스제약(주) | 모양: 장방형 | 색상: 파랑 노랑 | 각인: MDS VGH | 일반의약품 | 미황색 내지 백색의 가루가 든 상부 청색 불투명, 하부 미황색 불투명 캡슐"
202300907,브이콜에이치캡슐,메딕스제약(주),"미황색 내지 백색의 가루가 든 상부 황색 불투명, 하부 미황색 불투명 캡슐",장방형,주황,노랑,MDS VCH,,일반의약품,V Flu H Cap.,,19.1,6.4,6.8,2023,"브이콜에이치캡슐 | 제조사: 메딕스제약(주) | 모양: 장방형 | 색상: 주황 노랑 | 각인: MDS VCH | 일반의약품 | 미황색 내지 백색의 가루가 든 상부 황색 불투명, 하부 미황색 불투명 캡슐"
202400206,브이콤정,(주)오스코리아제약,분홍색의 장방형 필름코팅정,장방형,분홍,,마크,,일반의약품,V-com Tab,3130.0,15.4,7.7,5.2,2024,브이콤정 | 제조사: (주)오스코리아제약 | 모양: 장방형 | 색상: 분홍 | 각인: 마크 | 일반의약품 | 분홍색의 장방형 필름코팅정
202101384,브이토젯정10/10밀리그램,(주)다산제약,흰색의 양면이 볼록한 장방형의 필름코팅정,타원형,하양,,DM5,,전문의약품,VTOZET Tab. 10/10mg,2180.0,12.9,5.2,4.8,2021,브이토젯정10/10밀리그램 | 제조사: (주)다산제약 | 모양: 타원형 | 색상: 하양 | 각인: DM5 | 전문의약품 | 흰색의 양면이 볼록한 장방형의 필름코팅정
202101385,브이토젯정10/20밀리그램,(주)다산제약,흰색의 양면이 볼록한 장방형의 필름코팅정,타원형,하양,,DM6,,전문의약품,VTOZET Tab. 10/20mg,2180.0,14.2,6.0,4.9,2021,브이토젯정10/20밀리그램 | 제조사: (주)다산제약 | 모양: 타원형 | 색상: 하양 | 각인: DM6 | 전문의약품 | 흰색의 양면이 볼록한 장방형의 필름코팅정
202101386,브이토젯정10/40밀리그램,(주)다산제약,흰색의 양면이 볼록한 장방형의 필름코팅정,타원형,하양,,DM7,,전문의약품,VTOZET Tab. 10/40mg,2180.0,16.7,6.5,5.7,2021,브이토젯정10/40밀리그램 | 제조사: (주)다산제약 | 모양: 타원형 | 색상: 하양 | 각인: DM7 | 전문의약품 | 흰색의 양면이 볼록한 장방형의 필름코팅정
202100311,비디디셀정25밀리그램(비페닐디메틸디카르복실레이트),(주)아리제약,백색 장방형의 정제,장방형,하양,,25SEL,,전문의약품,Ari-Biphenyl dimethyl dicarboxylate tab.25mg,,13.4,5.1,3.7,2021,비디디셀정25밀리그램(비페닐디메틸디카르복실레이트) | 제조사: (주)아리제약 | 모양: 장방형 | 색상: 하양 | 각인: 25SEL | 전문의약품 | 백색 장방형의 정제
202203555,비디엠정(디에노게스트),(주)마더스제약,흰색 내지 미백색의 원형의 정제,원형,하양,,,,전문의약품,VID IM TAB.,2470.0,7.1,7.1,3.0,2022,비디엠정(디에노게스트) | 제조사: (주)마더스제약 | 모양: 원형 | 색상: 하양 | 전문의약품 | 흰색 내지 미백색의 원형의 정제
202500676,비디콤비정,코오롱제약(주),분홍색의 장방형 필름코팅정,장방형,분홍,,KLB,,일반의약품,Bidicombi Tab.,3190.0,16.3,7.9,5.0,2025,비디콤비정 | 제조사: 코오롱제약(주) | 모양: 장방형 | 색상: 분홍 | 각인: KLB | 일반의약품 | 분홍색의 장방형 필름코팅정
202500584,비라밸에센정,동화약품(주),노란색의 원형 필름코팅정,원형,노랑,,D-W,VE,일반의약품,VI-LA-BAEL essen Tablets,3190.0,8.7,8.7,4.5,2025,비라밸에센정 | 제조사: 동화약품(주) | 모양: 원형 | 색상: 노랑 | 각인: D-W VE | 일반의약품 | 노란색의 원형 필름코팅정
202106061,비라토비캡슐75밀리그램(엔코라페닙),한국오노약품공업주식회사,"흰색-미백색의 분말 혹은 덩어리가 든 상부 살색, 하부 흰색의 불투명한 경질 캡슐",장방형,분홍,하양,마크 LGX 75mg,,"전문,희귀",Braftovi 75 mg,4210.0,22.4,7.9,8.3,2021,"비라토비캡슐75밀리그램(엔코라페닙) | 제조사: 한국오노약품공업주식회사 | 모양: 장방형 | 색상: 분홍 하양 | 각인: 마크 LGX 75mg | 전문,희귀 | 흰색-미백색의 분말 혹은 덩어리가 든 상부 살색, 하부 흰색의 불투명한 경질 캡슐"
